variant_id,condition,task_count,closed,closure_rate_bps,operational_debt_auc,cost_units,cost_to_close_units,closure_adjusted_cost_units,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,latency_ms,active_mutation_ids,active_mutation_count,active_retirement_ids,retirement_count,hard_floor_regression_count,rollback_failures,evidence_gap,rollback_gap
delayed_drift_recovery,strong_static_calibrated,120,60,5000,280,246362,246362,846362,60,0,20,60,120,35744,906724,[],0,[],0,0,0,60,0
delayed_drift_recovery,oasg_observe_only_from_strong,120,60,5000,280,246428,246428,846428,60,0,20,60,120,35744,907407,[],0,[],0,0,0,60,0
delayed_drift_recovery,rule_adaptive_control,120,60,5000,262,240742,240742,840742,60,2,10,60,120,35804,849948,[],0,[],0,0,0,60,0
delayed_drift_recovery,oasg_adaptive_from_strong,120,69,5750,244,228183,228183,738183,51,0,20,51,120,34959,732789,"['mut_policy_retirement_obligation_closure_phase_d_partial_reversion', 'mut_policy_tightening_obligation_closure_phase_c_structural_drift', 'mut_schema_keys_only_code_transform_phase_c_structural_drift', 'mut_schema_keys_only_code_transform_phase_d_partial_reversion', 'mut_schema_keys_only_obligation_closure_phase_c_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_d_partial_reversion']",6,"['mut_policy_retirement_obligation_closure_phase_d_partial_reversion', 'mut_policy_tightening_obligation_closure_phase_c_structural_drift']",2,0,0,51,0
full_drift_confirmatory,strong_static_calibrated,180,80,4444,440,363033,363033,1363033,90,20,20,100,180,51477,1316399,[],0,[],0,0,0,90,0
full_drift_confirmatory,oasg_observe_only_from_strong,180,80,4444,440,363505,363505,1363505,90,20,20,100,180,51477,1321028,[],0,[],0,0,0,90,0
full_drift_confirmatory,rule_adaptive_control,180,75,4167,429,361427,361427,1411427,100,9,5,105,180,51411,1300918,[],0,[],0,0,0,100,0
full_drift_confirmatory,oasg_adaptive_from_strong,180,91,5056,393,337376,337376,1227376,79,15,21,89,180,50977,1064813,"['mut_policy_retirement_obligation_closure_phase_d_mixed_reversion', 'mut_policy_tightening_obligation_closure_phase_d_mixed_reversion', 'mut_schema_keys_only_code_transform_phase_b_mild_drift', 'mut_schema_keys_only_code_transform_phase_c_structural_drift', 'mut_schema_keys_only_code_transform_phase_d_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_b_mild_drift', 'mut_schema_keys_only_obligation_closure_phase_c_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_d_mixed_reversion', 'mut_strict_json_minimal_code_transform_phase_b_mild_drift', 'mut_strict_json_minimal_code_transform_phase_c_structural_drift']",10,"['mut_policy_retirement_obligation_closure_phase_d_mixed_reversion', 'mut_policy_tightening_obligation_closure_phase_d_mixed_reversion']",2,0,0,79,0
mixed_reversion_only_probe,strong_static_calibrated,120,40,3333,400,222207,222207,1022207,80,0,40,80,120,33810,684521,[],0,[],0,0,0,80,0
mixed_reversion_only_probe,oasg_observe_only_from_strong,120,40,3333,400,221908,221908,1021908,80,0,40,80,120,33810,681491,[],0,[],0,0,0,80,0
mixed_reversion_only_probe,rule_adaptive_control,120,45,3750,324,231225,231225,981225,75,4,10,75,120,33355,779214,[],0,[],0,0,0,75,0
mixed_reversion_only_probe,oasg_adaptive_from_strong,120,55,4583,340,196301,196301,846301,65,0,40,65,120,32643,437144,"['mut_schema_keys_only_code_transform_phase_d1_mixed_reversion', 'mut_schema_keys_only_code_transform_phase_d2_mixed_ratio_shift', 'mut_schema_keys_only_obligation_closure_phase_d1_mixed_reversion', 'mut_schema_keys_only_obligation_closure_phase_d2_mixed_ratio_shift']",4,[],0,0,0,65,0
no_mixed_reversion_ablation,strong_static_calibrated,180,79,4389,404,375718,375718,1385718,91,20,0,101,180,51931,1438688,[],0,[],0,0,0,91,0
no_mixed_reversion_ablation,oasg_observe_only_from_strong,180,79,4389,404,376714,376714,1386714,91,20,0,101,180,51931,1448635,[],0,[],0,0,0,91,0
no_mixed_reversion_ablation,rule_adaptive_control,180,70,3889,435,381468,381468,1481468,105,5,0,110,180,52979,1485654,[],0,[],0,0,0,105,0
no_mixed_reversion_ablation,oasg_adaptive_from_strong,180,85,4722,375,358379,358379,1308379,85,15,0,95,180,52414,1260481,"['mut_policy_tightening_obligation_closure_phase_c1_structural_drift', 'mut_policy_tightening_obligation_closure_phase_c2_structural_surface_shift', 'mut_schema_keys_only_code_transform_phase_b_mild_drift', 'mut_schema_keys_only_code_transform_phase_c1_structural_drift', 'mut_schema_keys_only_code_transform_phase_c2_structural_surface_shift', 'mut_schema_keys_only_obligation_closure_phase_b_mild_drift', 'mut_schema_keys_only_obligation_closure_phase_c1_structural_drift', 'mut_schema_keys_only_obligation_closure_phase_c2_structural_surface_shift', 'mut_strict_json_minimal_code_transform_phase_c1_structural_drift']",9,"['mut_policy_tightening_obligation_closure_phase_c1_structural_drift', 'mut_policy_tightening_obligation_closure_phase_c2_structural_surface_shift']",2,0,0,85,0
