seed,condition,task_count,closed,closure_rate_bps,operational_debt_auc,cost_to_close_units,validation_failures,parse_failures,retries,unresolved_obligations,attempts,char_budget,latency_ms,active_mutation_ids,active_mutation_epoch_count,hard_floor_regression_count,rollback_failures
20260509,strong_static_calibrated,136,95,6985,82,322476,41,0,0,41,136,28089,1584535,[],0,0,0
20260509,strong_rule_adaptive_control,136,95,6985,82,317700,41,0,0,41,136,28089,1536754,[],0,0,0
20260509,strong_positive_control,136,95,6985,82,318705,41,0,0,41,136,28089,1546743,[],0,0,0
20260509,oasg_adaptive_from_strong,136,95,6985,82,317570,41,0,0,41,136,28089,1535460,[],0,0,0
20260510,strong_static_calibrated,136,92,6765,88,314903,44,0,0,44,136,28099,1508633,[],0,0,0
20260510,strong_rule_adaptive_control,136,92,6765,88,314844,44,0,0,44,136,28099,1508063,[],0,0,0
20260510,strong_positive_control,136,92,6765,88,315184,44,0,0,44,136,28099,1511519,[],0,0,0
20260510,oasg_adaptive_from_strong,136,92,6765,88,314732,44,0,0,44,136,28099,1506904,[],0,0,0
20260511,strong_static_calibrated,136,93,6838,86,308865,43,0,0,43,136,27814,1451108,[],0,0,0
20260511,strong_rule_adaptive_control,136,93,6838,86,308602,43,0,0,43,136,27814,1448464,[],0,0,0
20260511,strong_positive_control,136,93,6838,86,308555,43,0,0,43,136,27814,1448027,[],0,0,0
20260511,oasg_adaptive_from_strong,136,93,6838,86,309051,43,0,0,43,136,27814,1452992,[],0,0,0
20260512,strong_static_calibrated,136,89,6544,94,319118,47,0,0,47,136,28544,1546358,[],0,0,0
20260512,strong_rule_adaptive_control,136,89,6544,94,319521,47,0,0,47,136,28544,1550398,[],0,0,0
20260512,strong_positive_control,136,89,6544,94,318488,47,0,0,47,136,28544,1540138,[],0,0,0
20260512,oasg_adaptive_from_strong,136,89,6544,94,318910,47,0,0,47,136,28544,1544248,[],0,0,0
20260513,strong_static_calibrated,136,94,6912,84,314774,42,0,0,42,136,28289,1505469,[],0,0,0
20260513,strong_rule_adaptive_control,136,94,6912,90,342084,42,6,0,42,136,26951,1791949,[],0,0,0
20260513,strong_positive_control,136,94,6912,84,314968,42,0,0,42,136,28289,1507402,[],0,0,0
20260513,oasg_adaptive_from_strong,136,94,6912,86,327525,42,2,0,42,136,27843,1637374,[],0,0,0
